"id","ISBN","title","author","publisher","publication_year"
"143","0816704031","The Awful Mess Mystery (Easy to Read Mysteries)","Adrian Robert","Troll Communications Llc","1985"
"144","0895773767","Nature in America/Your A to Z Guide to Our Country's Animals, Plants, Landforms and Other Natural Features (Reader's Digest)","Not Applicable (Na )","Putnam Pub Group","1991"
"145","0330273701","White Shoes, White Lines and Blackie","Robert G. Barrett","Pan MacMillan Australia Pty Limited","1998"
"146","0373520875","Match For Morgan (The Cutlers Of The Shady Lady Ranch) (Silhouette Yours Truly : the Cutlers of the Shady Lady Ranch, No 52087)","Marie Ferrarella","Silhouette","1999"
"147","0330308882","Picture This","Joseph Heller","Pan Books Ltd","0"
"148","0330351540","All About Men","Bella Pollen","Pan Publishing","1997"
"149","0965064573","Ferocious Romance:  What My Encounters With The Right Taught Me About Sex, God, And Fury","Donna Minkowitz","Free Press","1998"
"150","0425169480","The Mummy: A Novel","Max Allan Collins","Boulevard Books","1999"
"151","0027888452","Coyote Places the Stars","Harriet Peck Taylor","Simon & Schuster Children's Publishing","1993"
"152","0028603958","Betty Crocker's New Cookbook: Everything You Need to Know to Cook (8th ed)","Betty Crocker","MacMillan Publishing Company.","1996"
"153","0070465134","The Big Book of Team Building Games: Trust-Building Activities, Team Spirit Exercises, and Other Fun Things to Do","John W. Newstrom","McGraw-Hill Trade","1997"
"154","0140153225","Clea (Durrell, Lawrence. Alexandria Quartet.)","Lawrence Durrell","Penguin Books","1993"
"155","0553579924","Tramp (Lilly Bennett Mysteries)","Marne Davis Kellogg","Bantam Books","1998"
"156","0373971206","Silver","David P. Jordan","Harlequin","1990"
"157","0345435745","Tanequil","TERRY BROOKS","Del Rey","2004"
"158","0669039640","French for Fluency","Jean-Paul Valette","Houghton Mifflin School","1985"
"159","0373077629","Return Of The Cowboy (Intimate Moments, No 762)","Cheryl Biggs","Silhouette","1996"
"160","0786014083","Slave Master (Pinnacle True Crime)","Sue Wiltz","Pinnacle Books","2004"
"161","0671446622","Lace","Shirley Conran","Simon & Schuster","1982"
"162","0099282194","Human Stain","Philip Roth","Random House Uk Ltd","2001"
"163","0887407358","Beading Necklaces With Ani Afshar: A Step-By-Step Guide to Creating Beautiful Beaded Jewelry (A Schiffer Book for Craftspeople)","Ani Afshar","Schiffer Publishing","1995"
"164","0917976754","Cynicalman: The Paperback (Showcase Comic Series)","Matt Feazell","Thunder Baas Pr","1987"
"165","0140441522","The Wasps, the Poet and the Women the Frogs (Penguin Classics)","Aristophanes","Penguin Books","1964"
"166","0671644475","The Conquest","Jude Deveraux","Pocket","1991"
"167","0208024395","The Amistad Slave Revolt and American Abolition","Karen Zeinert","Linnet Books","1997"
"168","8420429902","Un calor tan cercano","Maruja Torres","Alfaguara Ediciones, S.A. (Spain)","1999"
"169","1853260126","Oliver Twist (Wordsworth Classics)","Charles Dickens","NTC/Contemporary Publishing Company","1997"
"170","0373190700","Safety Of His Arms (Silhouette Romance, No 1070)","Vivian Leiber","Silhouette","1995"
"171","0345360982","The Dollars and Sense of Divorce: The Financial Guide for Women","Judith Briles","Ballantine Books","1991"
"172","0395498635","The Return of the Shadow: The History of The Lord of the Rings, Part One (The History of Middle-Earth, Vol. 6)","Christopher Tolkien","Houghton Mifflin","1989"
"173","0142401072","Time Cat: The Remarkable Journeys of Jason and Gareth (Puffin Modern Classics)","Lloyd Alexander","Puffin Books","2004"
"174","068816515X","I'm Not in the Mood: What Every Woman Should Know About Improving Her Libido","Judith, Md. Reichman","William Morrow & Company","1998"
"175","0425086607","Watchtower (Chronicles of Tornor, Book 1)","Elizabeth A. Lynn","Berkley Pub Group","1986"
"176","0679783180","The Charterhouse of Parma (Modern Library Paperback Classics)","Stendhal","Modern Library","2000"
"177","0843939532","In Enemy Hands","Linda Winstead","Leisure Books","1996"
"178","0345247507","The Bankers","Martin Mayer","Ballantine Books","1975"
"179","037326495X","The Boric Acid Murder (WWL Mystery)","Camille Minichino","Worldwide Mystery","2004"
"180","006080632X","The Case of the Journeying Boy","Michael Innes","Perennial","1991"
"181","0060992301","The last raven","Craig Thomas","Harper & Row","1990"
"182","0764553593","Buddhism for Dummies","Jonathan Landaw","For Dummies","2003"
"183","9117510716","Dikter i mÃ¶rker och ljus","Siv Arb","Norstedt","1975"
"184","0316119598","TV Troubl-Trol: Man St","Brown","Little Brown and Company","1997"
"185","1556616090","Journey (Legacies of the Ancient River)","Angela Elwell Hunt","Bethany House Publishers","1997"
"186","0517531704","Tutankhamun: The Last Journey","William MacQuitty","Smithmark Pub","1983"
"187","0671498371","LOVESONG","Valerie Sherwood","Pocket","1985"
"188","0451116119","Fields of Battle","Kate Alexander","New American Library","1982"
"189","3471793267","Vertrauen ist ein ungedeckter Scheck.","Bonnie MacDougal","List","1996"
"190","0140190600","Tao Te Ching: The Book of Meaning and Life (Arkana S.)","Lao Tzu","Penguin Books","1986"
"191","096590363X","Beanie Mania Guidebook: Your Guide to Collecting Beanie Babies","Becky Phillips","Dinomates Press","1998"
"192","0316644374","Billy Straight","Jonathan Kellerman","Little Brown Company","0"
"193","0786705426","Rosie: Rosie O'Donnell Biography","James Robert Parish","Carroll & Graf Publishers","1998"
"194","0809225352","Lapsing Into a Comma : A Curmudgeon's Guide to the Many Things That Can Go Wrong in Print--and How to Avoid Them","Bill  Walsh","McGraw-Hill/Contemporary Books","2000"
"195","0399151974","Love and Death in Brooklyn","Glenville Lovell","Putnam Publishing Group","2004"
"196","1880188481","Hawaii Pono: An Ethnic and Political History","Lawrence H. Fuchs","Bess Press","1997"
"197","0385484984","Visions: How Science Will Revolutionize the 21st Century","Michio Kaku","Doubleday Books","1997"
"198","0688026826","Shadow Magic","Seymour Simon","Harpercollins Library","1985"
"199","0671730614","CASE OF THE COUNTERFEIT CRIMINALS (HARDY BOYS 114) : CASE OF THE COUNTERFEIT CRIMINALS (Hardy Boys, The)","Franklin W. Dixon","Aladdin","1992"
"200","0449149900","Mr. X","Peter Straub","Ballantine Books","2000"
"201","044050306X","Masks of the Illuminati","ROBERT A. WILSON","Dell","1990"
"202","037380010X","When You Have Found Me (Harlequin Classic Library, #10)","Elizabeth Hoy","Harlequin","1981"
"203","0373059191","Mr. Easy  (Man Of The Month) (Silhouette Desire, No 919)","Cait London","Silhouette","1995"
"204","0312183429","A daughter's geography","Ntozake Shange","St. Martin's Press","1983"
"205","0373632479","Wolf's Bane (Destroyer Series, No. 132)","Warren Murphy","Gold Eagle","2003"
"206","1579902065","The Book of Wizard Craft: In Which the Apprentice Finds Spells, Potions, Fantastic Tales & 50 Enchanting Things to Make","Janice Eaton Kilby","Lark Books (NC)","2001"
"207","0451149696","The 10th Victim","Robert Sheckley","New Amer Library (Mm)","1987"
"208","0939680351","Hildegard of Bingen's Book of Divine Works: With Letters and Songs","Saint Hildegard","Bear & Company","1987"
"209","188845136X","Some of the Parts","T Cooper","Consortium","2002"
"210","0934323097","All about Bears (World of Teddy Ruxpin)","Ken Forsse","Alchemy Communications Group, Limited","1985"
"211","0373256728","Impetuous (Harlequin Temptation, No 572)","Lee Foster","Harlequin","1995"
"212","0373272049","Panther On The Prowl (Silhouette Intimate Moments, No. 1134)","Nancy Morse","Silhouette","2002"
"213","0867208465","First Aid Handbook","National Safety Council","Natl Book Network","1995"
"214","0060904666","Myth and Reality","Micrea Eliade","Addison-Wesley Pub Co","1963"
"215","089141813X","Woodbine Red Leader : A P-51 Mustang Ace in the Mediterranean Theater","GEORGE LOVING","Presidio Press","2003"
"216","0804110581","Honor Thy Father","Gay Talese","Ivy Books","1992"
"217","0582349168","Witch, and other stories (The Heritage of literature series)","George Mackay Brown","Longman","1977"
"218","0553350072","Witness for the Prosecution","Agatha Christie","Bantam Doubleday Dell","1987"
"219","0385487622","The Weigh Down Diet","Gwen Shamblin","Doubleday Books","1997"
"220","1569470103","The Beacon at Alexandria (Hera)","Gillian Bradshaw","Soho Press","1994"
"221","0140323082","The TV Kid","Betsy Byars","Puffin Books","1987"
"222","0345347277","The Maldive Mystery","Thor Heyerdahl","Ballantine Books","1987"
"223","1558506535","Knock `Em Dead 1997: The Ultimate Job Seekers Handbook (10th ed)","Martin John Yate","Adams Media Corp","1996"
"224","0140116052","The Penguin Book of English Madrigals: For Four Voices","Denis Stevens","Penguin USA","1989"
"225","0380703831","Tricks","Ed McBain","Harper Mass Market Paperbacks (Mm)","1989"
"226","0385323956","Girls Only","Alex Witchel","Bantam Dell Pub Group","1998"
"227","051503486X","W. C. Fields (A Pyramid illustrated history of the movies)","Nicholas Yanni","Pyramid Publications","1974"
"228","1558746099","Chicken Soup for the Kid's Soul : 101 Stories of Courage, Hope and Laughter (Chicken Soup for the Soul (Paperback Health Communications))","Jack Canfield","HCI","1998"
"229","0316851132","Consequences: A Personal and Political Memoir","John G. Tower","Little Brown & Co","1991"
"230","2881824633","Au nord du capitaine","Catherine Safonoff","ZoÃ?Â©","2002"
"231","3190115214","Themen Neu 1 Arbeitsbuch","Aufderstrab","Adler's Foreign Books Inc","2000"
"232","0373273495","The Right Stuff (Silhouette Intimate Moments, 1279)","Merline Lovelace","Silhouette","2004"
"233","0965865304","Precipice","Daniel Pollock","Council of Logistics Management","1997"
"234","0813338697","Fire in the Sky: The Air War in the South Pacific","Eric M. Bergerud","Westview Press","2001"
"235","1840680113","Dead Brides : Vampire Tales","Edgar Allan Poe","Creation Books","1999"
"236","088138030X","The Prince of the Rabbits (Star & Elephant Book)","Meroux Meroux","Simon & Schuster Merchandise &","1984"
"237","068482342X","This Side of Peace : A Personal Account","Hanan Ashrawi","Touchstone","1996"
"238","0312300530","The Last Jew","Noah Gordon","St. Martin's Griffin","2002"
"239","0373075219","Ryan Blake'S Revenge (Silhouette Intimate Moments, No 7521)","Clara Wimberly","Silhouette","1993"
"240","0821747967","Princess of Fire (Zebra Historical Romance)","Shannon Drake","Kensington Pub Corp (Mm)","1994"
"241","0872261670","Solved!: Famous Mystery Writers on Classic True-Crime Cases","Richard Glyn Jones","Bedrick","1990"
"242","0582417775","The Client (Penguin Readers, Level 4)","John Grisham","Pearson ESL","2000"
"243","0380006766","The Relaxation Response","Herbert Benson","HarperTorch","1976"
"244","0345460685","Silent Partner","Jonathan Kellerman","Ballantine Books","2003"
"245","0385495676","The Adventurist: My Life in Dangerous Places","Robert Young Pelton","Doubleday Books","2000"
"246","3822893269","Salvador Dali: 1904-1989 (Basic Series : Art)","Gilles Neret","Benedikt Taschen Verlag","1996"
"247","0747253196","Moonlight on the Mersey","Anne Baker","Trafalgar Square Publishing","1996"
"248","3499427982","DTV: In Blinder Panik","Rendell","Rowohlt Taschenbuch Verlag GmbH","0"
"249","0671578790","TNT : Telzey & Trigger","James H. Schmitz","Baen","2000"
"250","156597056X","Bedroom Eyes (Kismet; 141)","Becky Barker","Meteor Publishing Corporation","1993"
"251","0373033567","Bachelor'S Family (Kids & Kisses) (Harlequin Romance, No 3356)","Jessica Steele","Harlequin","1995"
"252","0812590287","The Guns of Billy Free","Doug Bowman","Forge Books","2000"
"253","3453148401","Gute Arbeit braucht ihre Zeit. Die Entdeckung der kreativen Langsamkeit.","Martin Massow","Heyne","1999"
"254","055213600X","The Sisters O'Donnell","Lyn Andrews","Trafalgar Square","2000"
"255","0374205094","The Meaning of Consuelo : A Novel","Judith Ortiz Cofer","Farrar, Straus and Giroux","2003"
"256","3458018174","Kreta: Aufzeichnungen aus d. Jahre 1943 (Insel Taschenbuch ; 117)","Erhart KÃ¤stner","Insel Verlag : Vertrieb durch den Suhrkamp Taschenbuch Verlag","1975"
"257","0822521318","Homes in Cold Places (Houses and Homes)","Alan James","Lerner Publishing Group","1989"
"258","0373224680","Man That Got Away (Intrigue , No 468)","Thomas B. Allen","Harlequin","1998"
"259","0671501070","Dragon's Honor (Star Trek: The Next Generation, No. 38)","Kij Johnson","Star Trek","1996"
"260","0385251041","Mind over Money: How to Banish Your Financial Headaches and Achieve Moneysanity","Norm Forman","Bantam Dell Pub Group","1987"
"261","1594740089","How To Clone The Perfect Blonde: Using Science To Make Your Wildest Dreams Come True","Sue Nelson","Quirk Books","2004"
"262","0373053045","Misty Splendor (Silhouette Desire, No 304)","Laurie Paige","Silhouette","1986"
"263","0312873085","Elixir","Gary Braver","St Martins Pr","2000"
"264","0448060191","Little Women (Illustrated Junior Library)","Louisa May Alcott","Grosset & Dunlap","1983"
"265","0812000595","Essentials of English","Vincent Foster Hopper","Barron's Educational Series, inc","1973"
"266","0061083089","The Trouble with Angels","Debbie Macomber","Avon","1994"
"267","2290027111","Tristesse de la Balance et autres signes","Jacques A. (Jacques AndrÃ?Â©) Bertrand","J'ai lu","1999"
"268","0819154946","The Community in America","Roland Warren","University Press of America","1987"
"269","0805073817","Nine Hills to Nambonkaha : Two Years in the Heart of an African Village","Sarah Erdman","Henry Holt and Co.","2003"
"270","0895776677","Help the Animals of Asia (A Pop-Up Book)","Robert Sabuda","Simon & Schuster Merchandise &","1995"
"271","1862070539","Mona In the Promised Land","Gish Jen","Granta Books","0"
"272","0340429968","Correct English (Teach Yourself Books)","Brian A. Phythian","Hodder Arnold Teach Yourself","1988"
"273","0393321576","Karl Marx: A Life","Francis Wheen","W.W. Norton & Company","2001"
"274","0764507508","Digital Photography for Dummies, Quick Reference","David D.  Busch","For Dummies","2000"
"275","0445202335","It Came from Schenectady","Barry B. Longyear","Warner Books","1986"
"276","0758203306","Joey Dee Gets Wise","Louisa Ermelino","Kensington Publishing Corporation","2004"
"277","3499231093","Traum im Herbst. Und andere StÃ?Â¼cke.","Jon Fosse","Rowohlt Tb.","2001"
"278","0060613157","Sociology Through the Eyes of Faith","Anthony Campolo","HarperSanFrancisco","1992"
"279","1556615191","Can I Control My Changing Emotions?: Answers to Questions Women Ask About Their Moods (Answers to Questions Women Ask)","Annie Chapman","Baker Pub Group","1994"
"280","0684865513","No Heroes : A Memoir of Coming Home","Chris Offutt","Simon & Schuster","2002"
"281","0451205065","Ralph Compton's Runaway Stage: A Novel (Ralph Compton Novels (Paperback))","Robert Vaughan","Signet Book","2002"
"282","0739415484","Shirt Off His Back","Parry Brown","Villard Books","0"
"283","0062509055","The Essential Gay Mystics (Essential Series)","Andrew Harvey","Harpercollins","1997"
"284","0912057467","Mystical Life of Jesus","H. Spencer Lewis","Amorc","1986"
"285","3570055272","Hotel Bilderberg: Tatsachenroman (Autoren Edition)","Bernt Engelmann","Autoren Edition","1977"
